,label,thresh,coordinates
106,0,0,"[92, 21, -65, -62, 0, 0, 0]"
107,0,0,"[91, 19, -64, -62, 0, 0, 0]"
108,0,0,"[91, 20, -65, -61, 0, 0, 0]"
109,0,0,"[93, 19, -66, -62, 0, 0, 0]"
110,0,0,"[93, 20, -65, -63, 0, 0, 0]"
111,0,0,"[92, 20, -64, -63, 0, 0, 0]"
112,0,0,"[91, 19, -65, -61, 0, 0, 0]"
113,0,0,"[91, 20, -64, -61, 0, 0, 0]"
114,0,0,"[92, 18, -66, -62, 0, 0, 0]"
115,0,0,"[92, 20, -66, -61, 0, 0, 0]"
116,0,0,"[91, 16, -67, -60, 0, 1, 0]"
117,0,0,"[91, 18, -62, -64, 0, 0, 0]"
118,0,0,"[93, 20, -63, -65, 1, 0, 0]"
119,0,0,"[105, 20, -68, -78, 1, 0, 0]"
120,0,0,"[91, 17, -61, -65, 3, -1, 1]"
121,2,0,"[138, 54, -97, -82, 3, 4, 2]"
122,2,0,"[106, 14, -82, -66, 2, -1, 0]"
123,2,0,"[123, 19, -90, -81, 2, 0, -4]"
124,2,0,"[131, 10, -96, -89, -3, 5, -8]"
125,2,0,"[124, 20, -90, -83, -8, 10, -10]"
126,2,0,"[108, 2, -76, -77, -7, 9, -11]"
127,2,0,"[91, -18, -60, -66, 0, 13, -13]"
128,2,0,"[86, 1, -69, -51, 4, 9, -14]"
129,2,0,"[80, 7, -67, -44, 7, 8, -15]"
130,2,0,"[85, 10, -69, -48, 8, 4, -17]"
131,2,0,"[96, 13, -74, -59, 8, 3, -20]"
132,2,0,"[93, 24, -68, -59, 6, 4, -21]"
133,2,0,"[92, 35, -64, -56, 7, 3, -19]"
134,2,0,"[90, 47, -57, -52, 9, 2, -18]"
135,2,0,"[98, 55, -63, -52, 10, 1, -17]"
136,2,0,"[105, 60, -66, -55, 7, 1, -18]"
137,2,0,"[103, 70, -55, -52, 8, 1, -18]"
138,2,0,"[98, 71, -50, -46, 8, 1, -16]"
139,2,0,"[89, 76, -31, -34, 9, 2, -15]"
140,2,0,"[81, 70, -33, -24, 11, 0, -11]"
141,2,0,"[72, 65, -29, -10, 13, -1, -9]"
142,2,0,"[71, 61, -36, -2, 15, -6, -7]"
143,2,0,"[61, 51, -33, 5, 11, -9, -6]"
144,2,0,"[49, 45, -19, 7, 9, -12, -5]"
145,2,0,"[48, 46, -12, -7, 6, -18, -1]"
146,2,0,"[45, 37, -5, -26, 0, -21, 1]"
147,2,0,"[70, 43, 2, -55, 0, -19, 3]"
148,2,0,"[84, 45, -1, -71, 3, -18, 7]"
149,2,0,"[92, 59, -16, -69, 5, -14, 13]"
150,2,0,"[124, 70, -56, -85, 3, -16, 18]"
151,2,0,"[161, 75, -84, -115, -1, -15, 16]"
152,2,0,"[174, 69, -98, -126, 0, -9, 11]"
153,2,0,"[171, 75, -109, -109, 2, 1, 6]"
154,2,0,"[165, 82, -116, -84, 4, 7, 3]"
155,2,0,"[156, 80, -116, -66, 3, 8, -1]"
156,2,0,"[133, 74, -100, -47, 1, 8, -7]"
157,2,0,"[120, 67, -93, -37, 4, 10, -10]"
158,2,0,"[112, 61, -91, -22, 6, 10, -12]"
159,2,0,"[104, 62, -83, 3, 10, 8, -12]"
160,2,0,"[97, 52, -79, 22, 15, 2, -14]"
161,2,0,"[88, 39, -73, 31, 17, -2, -15]"
162,2,0,"[74, 31, -62, 27, 16, -6, -15]"
163,2,0,"[59, 31, -45, 21, 15, -9, -15]"
164,2,0,"[45, 28, -24, 26, 15, -14, -13]"
165,2,0,"[27, 12, -8, 23, 19, -17, -9]"
166,2,0,"[23, 1, -10, 21, 22, -18, -4]"
167,2,0,"[54, 5, -15, 52, 12, -27, 0]"
168,2,0,"[122, 12, 31, 117, -26, -41, 8]"
169,2,0,"[187, -67, 93, 148, -38, -43, 28]"
170,2,0,"[246, -134, 110, 175, -43, -43, 43]"
171,2,1,"[984, -677, 711, 60, -43, -43, 43]"
172,0,0,"[174, -29, -97, -142, 13, 21, -5]"
173,0,0,"[150, 5, -98, -114, 6, 7, 0]"
174,1,0,"[75, -20, -43, -58, -1, 0, 3]"
175,1,0,"[64, -21, -23, -56, 1, 4, 3]"
176,1,0,"[88, -2, -41, -78, 3, 1, 0]"
177,1,0,"[106, -4, -61, -87, 3, 3, 0]"
178,1,0,"[96, 1, -60, -75, 2, 4, 0]"
179,1,0,"[91, 0, -55, -72, 0, 1, 0]"
180,1,0,"[86, -7, -46, -72, 0, -1, 0]"
181,1,0,"[89, -11, -51, -72, 0, -1, 0]"
182,1,0,"[90, -15, -48, -75, 1, 0, 0]"
183,1,0,"[91, -14, -49, -75, 0, 1, -1]"
184,1,0,"[85, -14, -48, -69, 1, 1, 0]"
185,1,0,"[92, -9, -52, -75, 0, 0, 0]"
186,1,0,"[89, -10, -45, -76, 0, 0, 0]"
187,1,0,"[94, -13, -55, -75, 0, 0, 0]"
188,1,0,"[89, -13, -49, -73, 0, 0, 0]"
189,1,0,"[88, -11, -46, -74, 1, 0, 0]"
190,1,0,"[89, -11, -49, -74, 2, 1, 0]"
191,1,0,"[94, -10, -58, -73, 1, 0, 0]"
192,1,0,"[92, -10, -58, -71, -1, 0, 0]"
193,1,0,"[90, -7, -50, -74, 0, 1, 0]"
194,1,0,"[87, -5, -47, -73, 0, 0, 0]"
