label,thresh,coordinates
0,0,"[91, 40, -47, -67, 0, 0, 0]"
0,0,"[91, 42, -45, -67, 0, 0, 0]"
0,0,"[93, 39, -48, -69, 0, 0, 0]"
0,0,"[93, 41, -46, -69, 0, 0, 0]"
0,0,"[91, 39, -46, -68, 0, 0, 0]"
0,0,"[92, 39, -47, -69, 0, 0, 0]"
0,0,"[93, 39, -48, -69, 0, 0, 0]"
0,0,"[92, 42, -46, -68, 0, 0, 0]"
0,0,"[92, 40, -46, -69, 0, 0, 0]"
0,0,"[91, 39, -47, -68, 0, 0, -1]"
0,0,"[94, 40, -50, -69, 0, 0, -1]"
0,0,"[92, 40, -47, -68, 0, 0, -1]"
0,0,"[91, 39, -46, -68, 0, 0, -1]"
0,0,"[93, 42, -47, -68, 0, 0, 0]"
0,0,"[94, 43, -47, -69, 0, 0, 0]"
0,0,"[92, 41, -45, -69, 0, 0, 0]"
0,0,"[90, 42, -45, -66, 0, -1, 0]"
0,0,"[93, 37, -48, -70, 0, 0, 0]"
0,0,"[91, 39, -47, -68, 0, 0, 0]"
0,0,"[94, 43, -47, -69, 0, 0, 0]"
0,0,"[94, 41, -48, -69, 0, 0, 0]"
0,0,"[92, 40, -44, -70, 0, 0, 0]"
0,0,"[92, 40, -45, -69, 0, 0, 0]"
0,0,"[92, 42, -45, -69, 0, 0, 0]"
0,0,"[94, 39, -51, -69, 0, 0, 0]"
0,0,"[92, 41, -52, -64, 0, 0, 0]"
0,0,"[92, 40, -48, -68, -1, 0, 0]"
0,0,"[90, 41, -44, -67, -1, 0, 0]"
0,0,"[95, 40, -52, -69, -1, 0, 0]"
0,0,"[87, 40, -39, -67, 0, 0, 0]"
0,0,"[90, 40, -45, -67, 0, 0, 0]"
0,0,"[98, 39, -51, -74, -1, 0, 0]"
0,0,"[90, 41, -45, -66, 0, 0, 0]"
0,0,"[95, 41, -47, -72, 0, 0, 0]"
0,0,"[87, 39, -43, -65, 0, 0, 0]"
