label,thresh,coordinates
0,0,"[92, 29, -38, -79, 0, 0, 0]"
0,0,"[91, 30, -38, -77, 0, 0, 0]"
0,0,"[90, 27, -37, -77, 0, 0, 0]"
0,0,"[90, 26, -36, -78, 0, 0, 0]"
0,0,"[88, 27, -36, -76, 0, 0, 0]"
0,0,"[92, 26, -38, -80, 0, 0, 0]"
0,0,"[90, 28, -38, -77, 0, 0, 0]"
0,0,"[92, 28, -37, -79, 0, 0, 0]"
0,0,"[90, 28, -36, -78, 0, 0, 0]"
0,0,"[91, 26, -36, -79, 0, 0, 0]"
0,0,"[90, 27, -37, -78, 0, 0, 0]"
0,0,"[90, 26, -37, -78, 0, 0, 0]"
0,0,"[90, 28, -37, -77, 0, 0, 0]"
0,0,"[90, 28, -37, -77, 0, 0, 0]"
0,0,"[90, 27, -37, -78, 0, 0, 0]"
0,0,"[91, 27, -37, -79, 0, 0, 0]"
0,0,"[90, 27, -37, -78, 0, 0, 0]"
0,0,"[92, 27, -38, -79, 0, 0, 0]"
0,0,"[92, 28, -39, -79, 0, 0, 0]"
0,0,"[91, 26, -37, -79, 0, 0, 0]"
0,0,"[90, 27, -36, -78, 0, 0, 0]"
0,0,"[90, 26, -36, -78, 0, 0, 0]"
0,0,"[91, 28, -36, -79, 0, 0, 0]"
0,0,"[90, 28, -36, -78, 0, 0, 0]"
0,0,"[93, 27, -41, -79, 0, 0, 0]"
0,0,"[92, 28, -39, -78, 0, 0, 0]"
0,0,"[91, 27, -35, -79, 0, 0, -1]"
0,0,"[90, 28, -34, -78, 0, 0, 0]"
0,0,"[93, 27, -41, -79, 0, 1, -1]"
0,0,"[91, 29, -36, -78, -1, 2, -1]"
0,0,"[89, 30, -34, -77, -1, 1, 0]"
0,0,"[91, 31, -35, -78, 0, 1, 0]"
0,0,"[90, 31, -36, -77, 0, 0, 0]"
0,0,"[90, 31, -35, -77, 0, 0, 0]"
0,0,"[89, 29, -35, -77, 0, 0, 0]"
0,0,"[91, 28, -39, -77, 0, 0, 0]"
0,0,"[93, 30, -40, -78, 0, 0, 0]"
0,0,"[90, 28, -38, -77, 0, 0, 0]"
