label,thresh,coordinates
0,0,"[88, 22, -57, -64, 0, 0, 0]"
0,0,"[89, 23, -58, -64, 0, 0, 0]"
0,0,"[88, 21, -59, -62, 0, 0, 1]"
0,0,"[94, 21, -64, -65, 0, 0, 0]"
0,0,"[74, -32, -32, -59, -1, 1, -1]"
0,0,"[95, 29, -60, -68, 0, 0, 1]"
0,0,"[90, 30, -58, -62, 0, 0, 0]"
0,0,"[90, 22, -58, -65, 0, 0, 0]"
0,0,"[90, 20, -61, -63, 0, 0, 0]"
0,0,"[95, 20, -65, -66, 0, 0, 0]"
0,0,"[93, 20, -64, -65, -1, 0, 0]"
0,0,"[92, 21, -61, -66, -1, 0, 0]"
0,0,"[90, 20, -58, -66, 0, 0, 0]"
0,0,"[91, 20, -60, -66, 0, 0, 0]"
0,0,"[92, 20, -61, -66, 0, 0, 0]"
0,0,"[92, 21, -62, -65, 0, 0, 0]"
0,0,"[89, 22, -57, -65, 0, 0, 0]"
0,0,"[97, 19, -65, -69, -1, 0, 0]"
0,0,"[93, 19, -62, -67, 0, 0, 0]"
0,0,"[89, 18, -58, -65, 0, 0, 0]"
0,0,"[90, 21, -59, -65, 0, 0, 0]"
0,0,"[93, 19, -62, -67, 0, 0, 0]"
0,0,"[90, 21, -59, -65, 0, 0, 0]"
0,0,"[90, 26, -57, -64, 0, 0, 0]"
0,0,"[93, 24, -61, -66, 0, 0, 0]"
0,0,"[93, 21, -63, -65, 0, 0, 0]"
0,0,"[92, 21, -62, -64, 0, 0, 0]"
0,0,"[91, 21, -60, -65, 0, 0, 0]"
0,0,"[94, 21, -62, -67, 0, 0, 0]"
0,0,"[91, 20, -61, -65, 0, 0, 0]"
0,0,"[93, 20, -62, -66, 0, 0, 0]"
0,0,"[92, 21, -61, -66, 0, 0, 0]"
0,0,"[93, 20, -61, -67, 0, 0, 0]"
0,0,"[92, 21, -60, -66, 0, 0, 0]"
0,0,"[92, 21, -61, -66, 0, 0, 0]"
0,0,"[92, 21, -60, -66, 0, 0, 0]"
0,0,"[91, 19, -61, -65, 0, 0, 0]"
0,0,"[91, 20, -60, -66, 0, 0, 0]"
0,0,"[92, 20, -61, -66, 0, 0, 0]"
0,0,"[91, 21, -60, -65, 0, 0, 0]"
0,0,"[92, 21, -60, -66, 0, 0, 0]"
0,0,"[91, 20, -60, -65, 0, 0, 0]"
0,0,"[91, 20, -61, -65, 0, 0, 0]"
0,0,"[90, 21, -59, -65, 0, 0, 0]"
0,0,"[92, 21, -60, -66, 0, 0, 0]"
0,0,"[93, 20, -64, -64, 0, 0, 0]"
0,0,"[93, 20, -63, -65, 0, 0, 0]"
0,0,"[92, 21, -60, -66, 0, 0, 0]"
0,0,"[92, 20, -61, -66, 0, 0, 0]"
0,0,"[91, 21, -59, -66, 0, 0, 0]"
0,0,"[91, 20, -61, -65, 0, 0, 0]"
0,0,"[91, 20, -59, -66, 0, 0, 0]"
0,0,"[91, 20, -60, -65, 0, 0, 0]"
0,0,"[92, 20, -61, -66, 0, 0, 0]"
0,0,"[92, 21, -61, -66, 0, 0, 0]"
0,0,"[91, 20, -61, -65, 0, 0, 0]"
0,0,"[93, 20, -62, -66, 0, 0, 0]"
0,0,"[92, 19, -62, -65, 0, 0, 0]"
0,0,"[91, 20, -59, -66, 0, 0, 0]"
0,0,"[85, 18, -57, -60, 0, 1, 0]"
0,0,"[98, 26, -66, -68, 0, 1, 0]"
0,0,"[91, 20, -62, -64, -2, 0, 0]"
0,0,"[88, 23, -55, -65, 0, 0, 0]"
0,0,"[90, 23, -58, -65, 0, 0, 0]"
0,0,"[93, 21, -62, -66, 0, 0, 0]"
0,0,"[91, 20, -59, -66, 0, 0, 0]"
0,0,"[91, 19, -60, -66, 1, 0, 0]"
0,0,"[93, 18, -61, -68, 0, 0, 1]"
0,0,"[96, 16, -57, -75, -1, 0, 2]"
0,0,"[101, 7, -66, -76, -1, 0, 2]"
0,0,"[116, 6, -76, -88, -1, 1, 2]"
0,0,"[120, 0, -83, -86, 0, 0, -2]"
0,0,"[137, -13, -97, -96, -2, 3, -7]"
0,0,"[132, -9, -97, -89, -6, 8, -9]"
0,0,"[120, -32, -83, -80, -10, 8, -12]"
0,0,"[95, -23, -66, -65, -8, 9, -14]"
0,0,"[79, -16, -57, -52, 1, 9, -16]"
0,0,"[74, -7, -56, -48, 7, 6, -19]"
0,0,"[63, 6, -46, -43, 8, 2, -21]"
0,0,"[73, 14, -50, -51, 8, -2, -21]"
0,0,"[79, 9, -51, -60, 8, -6, -20]"
0,0,"[75, 22, -40, -60, 11, -4, -21]"
0,0,"[79, 25, -47, -59, 10, -4, -19]"
0,0,"[67, 34, -39, -42, 9, -4, -17]"
0,0,"[65, 44, -35, -32, 10, -7, -14]"
0,0,"[64, 49, -31, -27, 11, -12, -14]"
0,0,"[68, 50, -25, -38, 11, -16, -12]"
0,0,"[67, 46, -17, -45, 10, -17, -8]"
0,0,"[68, 53, -8, -42, 13, -16, -1]"
0,0,"[75, 57, -13, -47, 15, -19, 2]"
0,0,"[80, 54, -14, -57, 10, -20, 6]"
0,0,"[75, 50, -8, -55, 6, -17, 10]"
0,0,"[92, 61, -11, -68, 3, -19, 15]"
0,0,"[109, 50, -30, -92, -5, -22, 21]"
0,0,"[108, 31, -30, -99, -10, -17, 27]"
0,0,"[106, 27, -39, -95, -4, -9, 24]"
0,0,"[125, 23, -75, -97, -6, -8, 25]"
0,0,"[137, 7, -92, -101, -17, -11, 29]"
0,0,"[114, -1, -70, -90, -17, -11, 30]"
0,0,"[102, -1, -69, -75, -11, -9, 23]"
0,0,"[115, -6, -45, -106, -5, -5, 15]"
0,0,"[207, -31, -155, -133, -5, 3, 8]"
0,0,"[118, -15, -73, -92, 0, 3, 0]"
0,0,"[81, -7, -38, -71, 1, 0, 1]"
0,0,"[58, -18, -16, -53, 5, -2, 3]"
0,0,"[81, -18, -44, -66, 2, -1, 3]"
0,0,"[87, -29, -51, -64, -9, 0, 3]"
0,0,"[93, -28, -47, -75, -10, 0, 3]"
0,0,"[101, -39, -41, -84, -3, -1, 1]"
0,0,"[93, -33, -33, -81, 1, 0, 0]"
0,0,"[87, -25, -36, -75, 2, 0, 0]"
0,0,"[85, -25, -39, -71, 1, 0, -1]"
0,0,"[90, -19, -49, -73, 0, 1, 0]"
0,0,"[92, -19, -53, -73, 0, 1, 0]"
0,0,"[92, -18, -50, -75, 0, 0, 0]"
0,0,"[89, -19, -47, -73, 0, 0, 0]"
0,0,"[90, -22, -46, -74, 0, 0, 0]"
0,0,"[87, -21, -45, -72, 0, 0, 0]"
0,0,"[89, -21, -45, -74, 0, 1, 0]"
0,0,"[88, -17, -46, -73, 0, 1, 0]"
0,0,"[90, -20, -46, -75, 0, 0, 0]"
0,0,"[89, -19, -44, -75, 0, 0, 0]"
0,0,"[89, -19, -44, -75, 0, 0, 0]"
0,0,"[89, -20, -42, -76, 0, 0, 0]"
0,0,"[89, -20, -42, -76, 0, 0, 0]"
0,0,"[89, -19, -43, -75, 0, 0, 0]"
0,0,"[89, -19, -43, -76, 0, 0, 0]"
0,0,"[90, -19, -45, -75, 0, 0, 0]"
0,0,"[91, -20, -45, -76, 0, 0, 0]"
0,0,"[88, -20, -44, -74, 0, 0, 0]"
0,0,"[92, -21, -46, -77, 0, 0, 0]"
0,0,"[90, -20, -45, -75, 0, 0, 0]"
0,0,"[87, -19, -42, -74, 1, 0, 0]"
0,0,"[88, -17, -40, -77, 1, 0, 0]"
0,0,"[91, -21, -41, -78, 3, -1, 0]"
0,0,"[94, -22, -44, -80, 7, -2, 0]"
0,0,"[98, -30, -40, -84, 17, -3, -2]"
0,0,"[112, -23, -67, -87, 27, 0, -7]"
0,0,"[141, -27, -97, -99, 19, 10, -13]"
0,0,"[189, -33, -139, -124, 3, 12, -15]"
0,0,"[151, -18, -111, -101, 4, 16, -19]"
0,0,"[152, -2, -120, -94, 9, 15, -22]"
0,0,"[131, 12, -108, -74, 8, 15, -23]"
0,0,"[130, 14, -109, -69, 1, 14, -24]"
0,0,"[80, 7, -56, -56, 2, 9, -22]"
0,0,"[79, 21, -76, -1, 10, 11, -20]"
0,0,"[136, 38, -109, -71, -4, 11, -36]"
0,0,"[69, 2, -56, -41, -2, 12, -37]"
0,0,"[32, 21, -24, 0, 16, 16, -34]"
0,0,"[51, 42, -27, 9, 29, 14, -30]"
0,0,"[72, 55, -43, 18, 28, 6, -27]"
0,0,"[59, 41, -38, 18, 19, 1, -23]"
0,0,"[47, 38, -13, 24, 16, 0, -21]"
0,0,"[47, 34, -1, 33, 19, -5, -18]"
0,0,"[44, 14, -2, 42, 15, -11, -11]"
0,0,"[55, 10, 5, 54, 15, -18, -8]"
0,0,"[80, -6, 26, 75, 5, -28, -3]"
0,0,"[172, -25, 82, 149, -17, -43, 11]"
0,0,"[267, -73, 117, 229, -36, -43, 34]"
0,0,"[343, -129, 152, 279, -43, -43, 43]"
2,1,"[1352, -784, -784, -774, 27, 43, 43]"
0,0,"[195, -7, -106, -164, 8, 9, -2]"
0,0,"[103, -26, -66, -75, 5, -1, 2]"
0,0,"[56, -22, -24, -46, -3, -1, 4]"
0,0,"[56, -8, -15, -53, -1, 1, 3]"
0,0,"[94, -8, -27, -90, 2, 0, 0]"
0,0,"[108, -7, -53, -94, 6, 2, 0]"
0,0,"[98, 1, -65, -74, 5, 1, 0]"
0,0,"[96, -2, -70, -65, 0, -1, 0]"
0,0,"[81, -5, -50, -64, -2, -1, 0]"
0,0,"[90, -3, -45, -78, 0, 0, 0]"
0,0,"[90, -8, -46, -77, 1, 0, 0]"
0,0,"[89, -14, -50, -72, 2, 0, 0]"
0,0,"[86, -16, -46, -71, 2, 0, 0]"
0,0,"[89, -13, -51, -72, 2, 1, 0]"
0,0,"[91, -12, -49, -76, 0, 1, 0]"
0,0,"[92, -11, -50, -76, 1, 0, 0]"
0,0,"[91, -13, -48, -76, 1, 0, 0]"
0,0,"[89, -12, -47, -75, 2, 0, 0]"
0,0,"[92, -14, -54, -73, -1, 0, 0]"
0,0,"[88, -11, -50, -72, 0, 0, 0]"
0,0,"[89, -10, -51, -72, 0, 0, 0]"
0,0,"[90, -9, -51, -73, 0, 0, 0]"
0,0,"[89, -9, -51, -72, 0, 0, 0]"
0,0,"[91, -10, -54, -72, 0, 0, 0]"
0,0,"[92, -9, -55, -73, 0, 0, 0]"
0,0,"[86, -9, -51, -69, 0, 0, 0]"
0,0,"[90, -9, -52, -73, 0, 0, 0]"
0,0,"[90, -10, -53, -72, 0, 0, 0]"
0,0,"[89, -11, -51, -72, 0, 0, 0]"
0,0,"[90, -11, -52, -73, 0, 0, 0]"
0,0,"[91, -11, -51, -74, 0, 0, 0]"
0,0,"[88, -10, -50, -72, 0, 0, 0]"
0,0,"[90, -10, -53, -72, 0, 0, 0]"
0,0,"[91, -9, -55, -72, 0, 0, 0]"
0,0,"[90, -9, -53, -72, 0, 0, 0]"
0,0,"[88, -10, -51, -71, 0, 0, 0]"
0,0,"[88, -10, -51, -71, 0, 0, 0]"
0,0,"[89, -10, -52, -72, 0, 0, 0]"
0,0,"[91, -10, -54, -73, 0, 0, 0]"
0,0,"[89, -10, -51, -72, 0, 0, 0]"
0,0,"[91, -10, -54, -72, 0, 0, 0]"
0,0,"[88, -9, -50, -72, 0, 0, 0]"
0,0,"[90, -9, -53, -72, 0, 0, 0]"
0,0,"[90, -11, -54, -71, 0, 0, 0]"
0,0,"[90, -9, -53, -72, 0, 0, 0]"
0,0,"[89, -9, -53, -71, 0, 0, 0]"
0,0,"[89, -10, -52, -71, 0, 0, 0]"
0,0,"[90, -9, -53, -72, 0, 0, 0]"
0,0,"[91, -10, -54, -72, 0, 0, 0]"
0,0,"[91, -9, -56, -71, 0, 0, 0]"
0,0,"[89, -8, -52, -72, 0, 0, 0]"
0,0,"[87, -10, -51, -70, 0, 0, 0]"
0,0,"[91, -10, -56, -71, 0, 0, 0]"
0,0,"[89, -9, -52, -72, 0, 0, 0]"
0,0,"[90, -8, -53, -72, 0, 0, 0]"
0,0,"[92, -9, -57, -72, 0, 0, 0]"
0,0,"[90, -9, -54, -71, 0, 0, 0]"
0,0,"[90, -9, -54, -72, 0, 0, 0]"
0,0,"[90, -9, -52, -73, 0, 0, 0]"
0,0,"[92, -10, -57, -71, 0, 0, 0]"
0,0,"[88, -9, -53, -70, 0, 0, 0]"
0,0,"[91, -8, -53, -73, 0, 0, 0]"
0,0,"[92, -9, -55, -73, 0, 0, 0]"
0,0,"[92, -10, -58, -71, 0, 0, 0]"
0,0,"[89, -9, -54, -70, 0, 0, 0]"
0,0,"[89, -8, -53, -71, 0, 0, 0]"
0,0,"[90, -8, -55, -71, 0, 0, 0]"
0,0,"[89, -9, -54, -70, 0, 0, 0]"
0,0,"[91, -8, -54, -73, 0, 0, 0]"
0,0,"[89, -8, -55, -70, 0, 0, 0]"
0,0,"[90, -8, -54, -71, 0, 0, 0]"
0,0,"[90, -8, -55, -71, 0, 0, 0]"
0,0,"[90, -8, -55, -71, 0, 0, 0]"
0,0,"[91, -9, -56, -71, 0, 0, 0]"
0,0,"[88, -8, -53, -70, 0, 0, 0]"
0,0,"[91, -8, -56, -71, 0, 0, 0]"
0,0,"[91, -9, -56, -71, 0, 0, 0]"
0,0,"[92, -8, -57, -72, 0, 0, 0]"
0,0,"[90, -9, -55, -71, 0, 0, 0]"
0,0,"[89, -9, -53, -71, 0, 0, 0]"
0,0,"[91, -9, -56, -71, 0, 0, 0]"
0,0,"[89, -9, -55, -70, 0, 0, 0]"
0,0,"[91, -9, -57, -71, 0, 0, 0]"
0,0,"[88, -8, -53, -70, 0, 0, 0]"
0,0,"[91, -9, -56, -71, 0, 0, 0]"
0,0,"[89, -8, -54, -70, 0, 0, 0]"
0,0,"[92, -8, -57, -72, 0, 0, 0]"
0,0,"[90, -8, -54, -71, 0, 0, 0]"
0,0,"[89, -8, -55, -70, 0, 0, 0]"
0,0,"[90, -8, -55, -71, 0, 0, 0]"
0,0,"[90, -9, -55, -71, 0, 0, 0]"
0,0,"[91, -9, -56, -71, 0, 0, 0]"
0,0,"[91, -9, -56, -71, 0, 0, 0]"
0,0,"[90, -9, -55, -71, 0, 0, 0]"
0,0,"[90, -8, -54, -71, 0, 0, 0]"
0,0,"[91, -8, -57, -71, 0, 0, 0]"
0,0,"[91, -10, -57, -70, 0, 0, 0]"
0,0,"[91, -8, -57, -71, 0, 0, 0]"
0,0,"[90, -9, -55, -71, 0, 0, 0]"
0,0,"[92, -10, -57, -71, 0, 0, 0]"
0,0,"[90, -9, -55, -71, 0, 0, 0]"
0,0,"[89, -8, -54, -70, 0, 0, 0]"
0,0,"[90, -8, -55, -71, 0, 0, 0]"
0,0,"[89, -8, -56, -69, 0, 0, 0]"
0,0,"[90, -8, -55, -71, 0, 0, 0]"
0,0,"[91, -8, -56, -71, 0, 0, 0]"
0,0,"[89, -9, -55, -70, 0, 0, 0]"
0,0,"[91, -8, -56, -71, 0, 0, 0]"
0,0,"[89, -9, -54, -70, 0, 0, 0]"
0,0,"[92, -9, -58, -71, 0, 0, 0]"
0,0,"[89, -8, -55, -70, 0, 0, 0]"
0,0,"[90, -8, -55, -71, 0, 0, 0]"
0,0,"[89, -9, -56, -69, 0, 0, 0]"
0,0,"[89, -9, -55, -69, 0, 0, 0]"
0,0,"[90, -8, -56, -70, 0, 0, 0]"
0,0,"[90, -9, -56, -70, 0, 0, 0]"
0,0,"[91, -9, -57, -71, 0, 0, 0]"
0,0,"[90, -9, -56, -70, 0, 0, 0]"
