label,thresh,coordinates
0,0,"[92, 23, -62, -64, -5, 0, -2]"
0,0,"[90, 27, -56, -65, -4, 0, -1]"
0,0,"[93, 21, -58, -69, -2, 0, -1]"
0,0,"[99, 17, -65, -73, -1, 0, -2]"
0,0,"[101, 27, -71, -67, -3, 4, -2]"
0,0,"[91, 17, -63, -64, -6, 0, -1]"
0,0,"[90, 24, -52, -69, -6, -1, -1]"
0,0,"[84, 27, -44, -66, -5, -1, -1]"
0,0,"[79, 29, -37, -64, -1, 0, 0]"
0,0,"[95, 34, -51, -72, 0, 0, 0]"
0,0,"[93, 34, -50, -71, 0, 1, 0]"
0,0,"[88, 26, -52, -66, 0, 1, 0]"
0,0,"[91, 27, -53, -69, 0, 2, 1]"
0,0,"[93, 23, -55, -71, 1, 1, 0]"
0,0,"[92, 24, -56, -69, 0, 1, 0]"
0,0,"[92, 24, -56, -69, 0, 0, 0]"
0,0,"[92, 25, -56, -69, 0, 0, 0]"
0,0,"[90, 25, -52, -69, 0, 0, 0]"
0,0,"[92, 25, -55, -69, 0, 0, 0]"
0,0,"[94, 30, -57, -69, 0, 0, 0]"
0,0,"[90, 26, -53, -68, 0, 0, 0]"
0,0,"[95, 27, -53, -74, 0, -2, 1]"
0,0,"[92, 26, -55, -69, 0, 0, 0]"
0,0,"[93, 25, -57, -69, 0, 0, 0]"
0,0,"[93, 26, -56, -69, 0, 0, 0]"
0,0,"[92, 26, -55, -69, 0, 0, 0]"
0,0,"[92, 28, -54, -69, 0, 0, 0]"
0,0,"[93, 26, -56, -70, 0, 0, 0]"
0,0,"[92, 26, -55, -69, 0, 0, 0]"
0,0,"[91, 24, -55, -69, -1, 0, 0]"
0,0,"[89, 25, -52, -68, 0, 0, 0]"
0,0,"[92, 26, -53, -70, 0, 0, 0]"
0,0,"[93, 25, -56, -70, 0, 0, 0]"
0,0,"[90, 23, -53, -69, 0, 0, 0]"
0,0,"[92, 24, -53, -71, 0, 0, 0]"
0,0,"[92, 24, -55, -70, 0, 0, 0]"
0,0,"[91, 24, -55, -69, 0, 0, 0]"
0,0,"[91, 24, -55, -68, 0, 0, 0]"
0,0,"[92, 24, -55, -70, 0, 0, 0]"
0,0,"[91, 25, -52, -70, 0, 0, 0]"
0,0,"[92, 25, -55, -70, 0, 0, 0]"
0,0,"[89, 23, -53, -68, 0, 0, 0]"
0,0,"[91, 23, -53, -70, 0, 0, 0]"
0,0,"[95, 24, -58, -71, 0, 0, 0]"
0,0,"[93, 24, -57, -70, -1, 0, 1]"
0,0,"[94, 22, -57, -71, -1, -1, 1]"
0,0,"[92, 20, -54, -72, -1, 0, 1]"
0,0,"[87, 21, -50, -68, -1, 0, 1]"
0,0,"[89, 23, -51, -69, 0, 0, 0]"
0,0,"[91, 25, -53, -70, 0, 0, 0]"
0,0,"[92, 26, -56, -68, 0, 1, -1]"
0,0,"[90, 22, -53, -69, 0, 0, 0]"
0,0,"[90, 23, -52, -70, 0, 0, 0]"
0,0,"[90, 23, -53, -69, 0, 0, 0]"
0,0,"[92, 24, -54, -71, 0, 0, 0]"
0,0,"[92, 28, -56, -68, 0, 2, -1]"
0,0,"[89, 21, -53, -68, 0, 0, 0]"
0,0,"[91, 22, -52, -71, 0, 0, 0]"
0,0,"[95, 24, -57, -72, -1, 0, 0]"
0,0,"[93, 22, -51, -75, 0, 0, -2]"
0,0,"[89, 22, -50, -70, 2, 0, -2]"
0,0,"[88, 21, -56, -65, 2, 0, -1]"
0,0,"[111, 13, -72, -84, 0, 1, -1]"
0,0,"[90, 23, -51, -70, 1, 0, -1]"
0,0,"[92, 24, -52, -72, 3, 2, -1]"
0,0,"[93, 25, -54, -71, 5, 2, -1]"
0,0,"[96, 30, -58, -71, 3, 3, -1]"
0,0,"[92, 28, -57, -67, 2, 3, 0]"
0,0,"[87, 29, -52, -64, 2, 3, 0]"
0,0,"[91, 27, -57, -66, 3, 2, 0]"
0,0,"[91, 27, -60, -63, 1, 2, 0]"
0,0,"[91, 30, -58, -63, 1, 1, 0]"
0,0,"[89, 26, -58, -63, 1, 0, 0]"
0,0,"[91, 28, -59, -64, 1, 0, 0]"
0,0,"[94, 29, -62, -65, 1, 0, 0]"
0,0,"[98, 30, -65, -67, 1, 0, -3]"
0,0,"[94, 29, -63, -63, 0, 0, -3]"
0,0,"[95, 29, -63, -65, 0, 0, -3]"
0,0,"[89, 29, -57, -62, -1, 0, -2]"
0,0,"[87, 29, -54, -62, 0, 0, -1]"
0,0,"[91, 28, -57, -65, 0, 0, 0]"
0,0,"[92, 29, -56, -67, 0, 0, 0]"
0,0,"[94, 28, -58, -68, 0, 0, 0]"
0,0,"[90, 28, -55, -65, 0, 0, 1]"
0,0,"[96, 28, -60, -69, 0, 0, 1]"
0,0,"[92, 28, -59, -65, -1, 0, 1]"
0,0,"[92, 28, -60, -64, 0, 0, 0]"
0,0,"[94, 26, -63, -65, 0, 0, 0]"
0,0,"[92, 28, -60, -64, -1, 0, 0]"
0,0,"[93, 27, -59, -66, -1, 0, 0]"
0,0,"[89, 29, -54, -65, -1, 0, 0]"
0,0,"[90, 28, -56, -65, 0, 0, 0]"
0,0,"[91, 27, -58, -65, 0, 0, 1]"
0,0,"[93, 25, -61, -66, 0, 0, 0]"
0,0,"[93, 27, -60, -66, 0, 0, 0]"
0,0,"[93, 27, -58, -67, 0, 0, 0]"
0,0,"[92, 27, -57, -67, 0, 0, 0]"
0,0,"[91, 27, -58, -65, 0, 0, 0]"
0,0,"[93, 25, -60, -67, 0, 0, 0]"
0,0,"[92, 27, -60, -65, 0, 0, 0]"
0,0,"[92, 26, -58, -66, 0, 0, 0]"
0,0,"[91, 27, -57, -66, 0, 0, 0]"
0,0,"[92, 26, -58, -66, 0, 0, 0]"
0,0,"[92, 27, -59, -65, 0, 0, 0]"
0,0,"[91, 26, -58, -65, 0, 0, 0]"
0,0,"[90, 25, -57, -65, -1, 0, 0]"
0,0,"[92, 26, -59, -66, 0, 0, 0]"
0,0,"[92, 26, -58, -66, 0, 0, 0]"
0,0,"[91, 27, -56, -66, 0, 0, 0]"
0,0,"[93, 27, -59, -67, 0, 0, 0]"
0,0,"[92, 27, -58, -66, 0, 0, 0]"
0,0,"[92, 26, -59, -65, 0, 0, 0]"
0,0,"[91, 25, -57, -66, 0, 0, 0]"
0,0,"[92, 28, -57, -66, 0, 0, 0]"
0,0,"[93, 27, -58, -67, 0, 0, 0]"
0,0,"[92, 26, -58, -66, 0, 0, 0]"
0,0,"[92, 26, -58, -67, 0, 0, 0]"
0,0,"[91, 26, -57, -66, 0, 0, 0]"
0,0,"[92, 27, -58, -66, 0, 0, 0]"
0,0,"[92, 26, -59, -65, 0, 0, 0]"
0,0,"[92, 26, -58, -66, 0, 0, 0]"
0,0,"[90, 26, -56, -66, 0, 0, 0]"
0,0,"[92, 26, -58, -67, 0, 0, 0]"
0,0,"[93, 26, -59, -67, 0, 0, 0]"
0,0,"[92, 26, -58, -66, 0, 0, 0]"
0,0,"[92, 26, -58, -66, 0, 0, 0]"
0,0,"[92, 27, -58, -66, 0, 0, 0]"
0,0,"[92, 27, -58, -66, 0, 0, 0]"
0,0,"[93, 27, -59, -66, 0, 0, 0]"
0,0,"[92, 26, -58, -66, 0, 0, 0]"
0,0,"[92, 26, -58, -66, 0, 0, 0]"
0,0,"[88, 30, -53, -63, 0, 0, 0]"
0,0,"[92, 27, -59, -65, 0, 0, 0]"
0,0,"[92, 26, -59, -66, 0, 0, 0]"
0,0,"[91, 25, -58, -66, -1, 0, 0]"
0,0,"[92, 26, -56, -68, 0, 0, 0]"
0,0,"[92, 24, -58, -67, 0, 0, 0]"
0,0,"[92, 23, -58, -67, 0, 0, 0]"
0,0,"[95, 28, -58, -70, 0, 0, 0]"
0,0,"[101, 34, -64, -71, 0, 1, 1]"
0,0,"[104, 14, -68, -78, -2, 0, 2]"
0,0,"[107, 19, -67, -81, 0, 0, 2]"
0,0,"[116, 19, -75, -86, -3, 3, 0]"
0,0,"[117, 22, -79, -83, -5, 4, -5]"
0,0,"[105, 21, -71, -75, -7, 5, -8]"
0,0,"[99, 16, -65, -73, -8, 2, -9]"
0,0,"[95, 9, -58, -75, -8, 0, -8]"
0,0,"[98, 16, -63, -73, -4, 0, -7]"
0,0,"[105, 9, -72, -76, -4, 0, -9]"
0,0,"[102, 21, -67, -74, -5, 0, -12]"
0,0,"[92, 21, -52, -73, -4, -1, -13]"
0,0,"[98, 24, -52, -79, -3, -3, -13]"
0,0,"[98, 26, -47, -82, -5, -4, -12]"
0,0,"[84, 24, -38, -71, -3, -3, -11]"
0,0,"[81, 32, -39, -63, 1, -6, -10]"
0,0,"[83, 35, -38, -65, 4, -7, -10]"
0,0,"[92, 34, -44, -73, 1, -6, -11]"
0,0,"[88, 36, -38, -71, 0, -4, -12]"
0,0,"[91, 37, -37, -75, -2, -5, -11]"
0,0,"[93, 35, -34, -79, -3, -5, -11]"
0,0,"[89, 35, -28, -77, -2, -4, -10]"
0,0,"[91, 37, -25, -79, 2, -4, -9]"
0,0,"[93, 36, -25, -82, 7, -4, -10]"
0,0,"[96, 31, -33, -85, 6, -2, -9]"
0,0,"[94, 32, -34, -82, 0, 0, -9]"
0,0,"[91, 34, -33, -78, -3, 1, -9]"
0,0,"[90, 38, -28, -77, -3, 1, -9]"
0,0,"[100, 31, -34, -89, -4, 0, -9]"
0,0,"[105, 18, -35, -97, -6, 1, -7]"
0,0,"[104, 20, -30, -98, -6, 5, -7]"
0,0,"[90, 13, -23, -86, -3, 11, -8]"
0,0,"[71, 16, -17, -67, 0, 17, -9]"
0,0,"[58, 18, -11, -54, 2, 19, -9]"
0,0,"[52, 22, 2, -47, 3, 21, -7]"
0,0,"[33, 25, 15, -15, 2, 21, -2]"
0,0,"[61, 56, 20, -12, -1, 9, 5]"
0,0,"[64, 56, 29, -13, 0, -1, 10]"
0,0,"[61, 50, 34, -11, 7, -5, 11]"
0,0,"[43, 36, 14, -19, 12, -1, 13]"
0,0,"[46, 40, 10, -21, 12, 3, 14]"
0,0,"[41, 35, 16, -13, 8, 3, 16]"
0,0,"[36, 27, 3, -23, 2, -1, 25]"
0,0,"[33, 7, -12, -30, 5, -4, 32]"
0,0,"[44, 0, -28, -34, 11, 3, 29]"
0,0,"[48, 8, -19, 43, 4, 1, 18]"
0,0,"[219, 78, -28, 203, -43, -20, 27]"
0,0,"[204, 39, 71, 187, -43, -43, 43]"
0,0,"[272, -173, 175, 117, -41, -43, 43]"
1,1,"[864, -279, -263, -774, -15, 43, -16]"
0,0,"[134, -52, -65, -105, 0, 10, -4]"
0,0,"[133, -19, -47, -123, 0, 6, 0]"
0,0,"[110, -11, -41, -102, 4, 0, 0]"
0,0,"[73, -11, -28, -66, 3, -3, 0]"
0,0,"[72, -21, -37, -58, 2, -2, 0]"
0,0,"[82, -23, -42, -66, 0, 2, 0]"
0,0,"[91, -17, -38, -81, -1, 4, 0]"
0,0,"[95, -10, -32, -89, 0, 2, 0]"
0,0,"[95, -13, -38, -86, 1, 0, 0]"
0,0,"[89, -16, -40, -78, 1, 0, 0]"
0,0,"[89, -14, -43, -77, 0, 0, 0]"
0,0,"[84, -13, -38, -74, 0, 0, 0]"
0,0,"[88, -13, -38, -78, -1, 0, 0]"
0,0,"[91, -13, -39, -81, -1, 0, 0]"
0,0,"[91, -14, -37, -82, 0, 0, 0]"
0,0,"[88, -15, -36, -79, 0, 0, 0]"
0,0,"[87, -16, -38, -77, 1, 0, 0]"
0,0,"[88, -16, -42, -76, 0, 0, 0]"
0,0,"[89, -13, -43, -77, 0, 0, 0]"
0,0,"[89, -13, -42, -77, 0, 0, 0]"
0,0,"[91, -13, -40, -81, 0, 0, 0]"
0,0,"[89, -13, -37, -80, 0, 0, 0]"
0,0,"[90, -15, -35, -81, 0, 0, 0]"
0,0,"[88, -15, -34, -80, 0, 0, -1]"
0,0,"[88, -14, -36, -79, 1, 0, 0]"
0,0,"[89, -14, -40, -78, 1, 0, 0]"
0,0,"[88, -14, -43, -76, 1, 0, 0]"
0,0,"[90, -14, -45, -77, 0, 0, 0]"
0,0,"[89, -13, -43, -77, 0, 0, 0]"
0,0,"[89, -13, -41, -78, 0, 0, 0]"
0,0,"[88, -12, -42, -76, 1, 0, 0]"
0,0,"[91, -14, -46, -77, 0, 0, 0]"
0,0,"[89, -13, -43, -77, 0, 0, 0]"
0,0,"[88, -14, -40, -77, -1, 0, 0]"
0,0,"[88, -12, -39, -78, 0, 0, 0]"
0,0,"[89, -13, -40, -78, 0, 0, 0]"
