label,thresh,coordinates
0,0,"[91, 20, -59, -67, 0, 0, 0]"
0,0,"[88, 16, -53, -68, -1, 0, 0]"
0,0,"[92, 21, -58, -68, 0, 0, 0]"
0,0,"[90, 20, -56, -68, 0, 0, 0]"
0,0,"[91, 20, -57, -68, 0, 0, 0]"
0,0,"[93, 21, -59, -69, 0, 0, 0]"
0,0,"[91, 21, -57, -68, 0, 0, 0]"
0,0,"[92, 21, -56, -70, 0, 0, 0]"
0,0,"[91, 21, -56, -69, 0, 0, 0]"
0,0,"[92, 20, -58, -68, 0, 0, 0]"
0,0,"[91, 21, -58, -67, 0, 0, 0]"
0,0,"[92, 20, -57, -69, 0, 0, 0]"
0,0,"[92, 20, -58, -68, 0, 0, 0]"
0,0,"[91, 21, -56, -68, 0, 0, 0]"
0,0,"[91, 21, -57, -68, 0, 0, 0]"
0,0,"[91, 21, -57, -68, 0, 0, 0]"
0,0,"[68, 11, -43, -51, 0, 0, 0]"
0,0,"[129, 12, -82, -99, -2, -3, 0]"
0,0,"[66, 29, -32, -50, 2, -1, 1]"
0,0,"[103, 15, -72, -72, 0, 0, 0]"
0,0,"[91, 18, -57, -68, -1, 0, 0]"
0,0,"[94, 22, -56, -72, 0, 0, 0]"
0,0,"[89, 24, -56, -65, 1, 0, 0]"
0,0,"[95, 20, -62, -69, 0, 0, 0]"
0,0,"[92, 20, -57, -69, 0, 0, 0]"
0,0,"[92, 21, -56, -70, 0, 0, 0]"
0,0,"[91, 21, -57, -68, 0, 0, 0]"
0,0,"[92, 20, -60, -67, 0, 0, 0]"
0,0,"[92, 20, -58, -69, 0, 0, 0]"
0,0,"[90, 20, -56, -68, 0, 0, 0]"
0,0,"[92, 21, -57, -69, 0, 0, 0]"
0,0,"[92, 20, -58, -68, 0, 0, 0]"
0,0,"[91, 19, -58, -67, 0, 0, 0]"
0,0,"[91, 21, -57, -68, 0, 0, 0]"
0,0,"[92, 21, -57, -69, 0, 0, 0]"
0,0,"[91, 22, -57, -68, 0, 0, 0]"
0,0,"[90, 22, -56, -67, 0, 0, 0]"
0,0,"[92, 21, -57, -69, 0, 0, 0]"
0,0,"[91, 21, -57, -68, 0, 0, 0]"
0,0,"[92, 20, -58, -68, 0, 0, 0]"
0,0,"[92, 20, -58, -69, 0, 0, 0]"
0,0,"[91, 21, -56, -68, 0, 0, 0]"
0,0,"[92, 20, -58, -69, 0, 0, 0]"
0,0,"[92, 20, -58, -68, 0, 0, 0]"
0,0,"[92, 20, -57, -69, 0, 0, 0]"
0,0,"[94, 20, -58, -71, 0, 0, 0]"
0,0,"[96, 18, -58, -74, 2, 0, -1]"
0,0,"[88, 20, -56, -65, 1, 0, -2]"
0,0,"[90, 22, -58, -65, 0, 0, -1]"
0,0,"[90, 23, -57, -66, 0, 0, 0]"
0,0,"[91, 23, -57, -67, 0, 0, 0]"
0,0,"[92, 21, -60, -66, 0, 0, 0]"
0,0,"[91, 21, -57, -68, 0, 0, 0]"
0,0,"[90, 21, -56, -67, 0, 0, 0]"
0,0,"[91, 21, -57, -68, 0, 0, 0]"
0,0,"[92, 21, -58, -68, 0, 0, 0]"
0,0,"[90, 21, -57, -67, 0, 0, 0]"
0,0,"[90, 21, -58, -66, 0, 0, 0]"
