label,thresh,coordinates
0,0,"[93, 30, -57, -67, -1, 0, 0]"
0,0,"[90, 29, -53, -67, -2, 0, 0]"
0,0,"[92, 31, -53, -69, -2, 0, 0]"
0,0,"[93, 33, -50, -71, 0, 0, 0]"
0,0,"[89, 30, -50, -67, 0, 0, 0]"
0,0,"[91, 30, -53, -67, 0, 0, 0]"
0,0,"[91, 32, -53, -67, -1, 0, -1]"
0,0,"[91, 33, -51, -68, -1, 0, -1]"
0,0,"[91, 33, -50, -69, -1, 0, -1]"
0,0,"[91, 38, -47, -68, -1, 1, 0]"
0,0,"[91, 37, -47, -68, 0, 0, 0]"
0,0,"[93, 34, -52, -69, 0, 0, 0]"
0,0,"[90, 32, -50, -68, 0, 0, 0]"
0,0,"[93, 32, -52, -70, -1, 0, 0]"
0,0,"[90, 33, -49, -68, 0, 0, 0]"
0,0,"[92, 34, -50, -69, 0, 0, 0]"
0,0,"[91, 34, -49, -69, 0, 0, 0]"
0,0,"[91, 32, -50, -69, 0, 0, 0]"
0,0,"[94, 33, -52, -71, -1, 0, 0]"
0,0,"[94, 35, -50, -71, 0, 0, 0]"
0,0,"[91, 34, -48, -69, 0, 0, 0]"
0,0,"[91, 33, -50, -68, 0, 0, 0]"
0,0,"[93, 33, -51, -71, 0, 0, 0]"
0,0,"[91, 34, -48, -70, 0, 0, 0]"
0,0,"[92, 35, -49, -69, 0, 0, 0]"
0,0,"[91, 34, -49, -69, 0, 0, 0]"
0,0,"[92, 33, -49, -70, 0, 0, 0]"
0,0,"[92, 34, -50, -69, 0, 0, 0]"
0,0,"[92, 34, -51, -69, 0, 0, 0]"
0,0,"[92, 35, -50, -69, 0, 0, 0]"
0,0,"[91, 33, -49, -69, 0, 0, 0]"
0,0,"[92, 34, -48, -71, 0, 0, 0]"
0,0,"[89, 34, -47, -68, 0, 0, 0]"
0,0,"[92, 34, -50, -70, 0, 0, 0]"
0,0,"[87, 32, -46, -67, 0, 0, 0]"
0,0,"[92, 33, -49, -70, 0, 0, 0]"
0,0,"[92, 33, -50, -70, 0, 0, 0]"
0,0,"[91, 34, -48, -70, 0, 0, 0]"
0,0,"[90, 31, -49, -69, 0, 0, 0]"
0,0,"[92, 35, -49, -70, -1, 0, 0]"
0,0,"[92, 34, -49, -70, -1, 0, 0]"
0,0,"[93, 32, -51, -71, -1, 0, 0]"
0,0,"[91, 30, -49, -70, -1, 0, 0]"
0,0,"[93, 32, -48, -73, -2, 0, -1]"
0,0,"[91, 30, -46, -73, 0, 0, -1]"
0,0,"[91, 31, -49, -70, 0, 0, 0]"
0,0,"[94, 35, -48, -73, 1, 1, 0]"
0,0,"[90, 27, -49, -70, 0, 0, 0]"
0,0,"[92, 34, -48, -71, 0, 0, 0]"
0,0,"[92, 41, -44, -69, 0, 0, -1]"
0,0,"[94, 49, -44, -67, 0, 1, -1]"
0,0,"[93, 49, -43, -66, 0, 0, 0]"
0,0,"[91, 36, -48, -69, 0, 0, 1]"
0,0,"[85, 32, -42, -66, 0, 0, 0]"
0,0,"[111, 41, -59, -85, -1, 1, 0]"
0,0,"[71, 26, -26, -61, 1, -2, 1]"
0,0,"[95, 35, -56, -68, 1, 0, 0]"
0,0,"[104, 34, -54, -82, 0, 0, 0]"
0,0,"[79, 31, -39, -61, 0, 0, 0]"
0,0,"[95, 37, -49, -73, 0, 0, 0]"
0,0,"[98, 36, -52, -75, 0, 0, 0]"
0,0,"[89, 32, -44, -71, 0, 0, 0]"
0,0,"[91, 33, -50, -68, 0, 0, 0]"
0,0,"[89, 34, -47, -68, 0, 0, 0]"
0,0,"[93, 34, -49, -72, 0, 0, 0]"
0,0,"[92, 34, -47, -71, 0, 0, 0]"
0,0,"[87, 33, -45, -67, 0, 0, 0]"
0,0,"[88, 32, -47, -67, 0, 0, 0]"
0,0,"[88, 31, -48, -67, 0, 0, 0]"
0,0,"[92, 33, -48, -71, 0, 0, 0]"
0,0,"[89, 35, -44, -69, 0, 0, 0]"
0,0,"[92, 35, -47, -71, 0, 0, 0]"
0,0,"[96, 37, -50, -73, 0, 0, 0]"
0,0,"[94, 36, -51, -70, 0, 0, 0]"
0,0,"[92, 35, -49, -69, 0, 0, 0]"
0,0,"[116, 43, -65, -86, 0, 1, 0]"
0,0,"[97, 40, -50, -73, 0, 1, 0]"
0,0,"[80, 33, -42, -60, 0, 0, 0]"
0,0,"[95, 35, -50, -73, -1, 0, 0]"
0,0,"[91, 35, -45, -71, 0, 0, 0]"
0,0,"[88, 35, -45, -67, 0, 0, 0]"
0,0,"[86, 32, -47, -65, 0, 0, 0]"
0,0,"[95, 33, -51, -73, 0, 0, 0]"
0,0,"[93, 36, -48, -71, 0, 0, 0]"
0,0,"[84, 34, -43, -64, 0, 0, 0]"
0,0,"[94, 34, -50, -72, 0, 0, 0]"
0,0,"[91, 36, -45, -70, 0, 0, 0]"
0,0,"[91, 33, -50, -68, 1, 0, 0]"
0,0,"[93, 35, -54, -67, 0, 0, 0]"
0,0,"[94, 34, -52, -71, 0, 0, -1]"
0,0,"[94, 34, -52, -71, 0, 0, -1]"
