label,thresh,coordinates
0,0,"[92, 36, -36, -77, 0, 0, -1]"
0,0,"[91, 34, -37, -76, 0, 0, -1]"
0,0,"[91, 36, -39, -74, 0, 0, -1]"
0,0,"[91, 35, -40, -74, 0, 0, 0]"
0,0,"[91, 37, -38, -74, 0, 0, 0]"
0,0,"[92, 37, -37, -76, 0, 0, 0]"
0,0,"[90, 37, -37, -73, 0, 1, 0]"
0,0,"[93, 37, -41, -75, 0, 0, 0]"
0,0,"[91, 35, -39, -74, 0, 1, 0]"
0,0,"[90, 38, -38, -72, 0, 1, 0]"
0,0,"[92, 42, -36, -73, 0, 1, 1]"
0,0,"[89, 34, -39, -72, -2, 2, 1]"
0,0,"[92, 40, -35, -75, 0, 0, 3]"
0,0,"[90, 33, -41, -73, 0, 0, 3]"
0,0,"[92, 34, -45, -73, 0, 0, 2]"
0,0,"[91, 35, -43, -72, 0, 0, 0]"
0,0,"[91, 37, -39, -74, -1, 0, 0]"
0,0,"[90, 37, -38, -73, 0, 0, 0]"
0,0,"[93, 36, -39, -76, 0, 0, 0]"
0,0,"[91, 37, -39, -73, 0, 0, 0]"
0,0,"[93, 37, -39, -76, 0, 0, 0]"
0,0,"[92, 37, -39, -75, 0, 0, 0]"
0,0,"[91, 35, -40, -74, 0, 0, 0]"
0,0,"[91, 36, -38, -74, 0, 0, 0]"
0,0,"[89, 35, -39, -72, 0, 0, 0]"
0,0,"[90, 37, -37, -73, 0, 0, 0]"
0,0,"[90, 36, -40, -72, 0, 0, 0]"
0,0,"[91, 36, -41, -73, -1, 0, 0]"
0,0,"[91, 36, -38, -74, -1, 0, 0]"
0,0,"[94, 36, -39, -77, -1, 0, 0]"
0,0,"[89, 37, -38, -72, 0, 0, 0]"
0,0,"[90, 36, -41, -72, -1, 0, 0]"
0,0,"[92, 36, -37, -76, -1, 0, 0]"
0,0,"[91, 36, -37, -75, 0, 0, 0]"
0,0,"[93, 38, -39, -76, 0, 0, 0]"
0,0,"[90, 36, -39, -73, 0, 0, 0]"
0,0,"[91, 35, -38, -75, 0, 0, 0]"
0,0,"[91, 36, -38, -74, 0, 0, 0]"
0,0,"[91, 35, -39, -74, 0, 0, 0]"
0,0,"[91, 37, -38, -74, 0, 0, -1]"
0,0,"[92, 33, -38, -77, 0, 0, 0]"
0,0,"[92, 36, -40, -75, 0, 0, -1]"
0,0,"[92, 37, -36, -76, 0, 0, -1]"
0,0,"[91, 36, -36, -75, 0, 0, -1]"
0,0,"[91, 36, -38, -74, 0, 0, 0]"
0,0,"[91, 38, -38, -74, 0, 0, 0]"
0,0,"[90, 36, -38, -73, 0, 0, 0]"
0,0,"[91, 36, -38, -75, 0, 0, 0]"
0,0,"[91, 35, -38, -75, 0, 0, 0]"
0,0,"[92, 36, -39, -75, 0, 0, 0]"
0,0,"[91, 36, -37, -75, 0, 0, 0]"
0,0,"[91, 36, -37, -75, 0, 0, 0]"
0,0,"[91, 37, -38, -74, 0, 0, 0]"
0,0,"[91, 37, -38, -74, 0, 0, 0]"
0,0,"[91, 35, -38, -75, 0, 0, 0]"
0,0,"[91, 36, -40, -74, 0, 0, 0]"
0,0,"[92, 36, -39, -75, 0, 0, 0]"
0,0,"[91, 38, -37, -74, 0, 0, 0]"
0,0,"[95, 36, -43, -77, 0, 0, 0]"
0,0,"[91, 35, -39, -74, 0, 0, 0]"
0,0,"[91, 36, -37, -75, 0, 0, 0]"
0,0,"[92, 35, -40, -75, 0, 0, -1]"
0,0,"[94, 39, -36, -77, 0, 0, -2]"
0,0,"[90, 36, -38, -73, 0, 0, -2]"
0,0,"[91, 37, -36, -75, 0, 0, -1]"
0,0,"[92, 37, -36, -76, 0, 0, -1]"
0,0,"[91, 38, -34, -75, 0, 0, 0]"
0,0,"[90, 37, -34, -75, 0, 0, 0]"
0,0,"[90, 37, -36, -74, 0, 0, 0]"
0,0,"[92, 38, -37, -75, 1, 0, 0]"
0,0,"[80, -7, -43, -67, 3, 1, 2]"
0,0,"[99, 31, -54, -77, 1, -1, 0]"
0,0,"[89, 18, -48, -73, -1, 0, -2]"
0,0,"[92, 18, -52, -74, -4, 0, -3]"
0,0,"[118, -2, -72, -94, -14, 4, -8]"
0,0,"[108, 10, -58, -91, -13, 6, -13]"
0,0,"[106, 8, -61, -86, -7, 8, -10]"
0,0,"[113, 19, -67, -89, -3, 5, -11]"
0,0,"[109, 18, -61, -89, -2, 5, -15]"
0,0,"[102, 21, -55, -83, -1, 6, -17]"
0,0,"[88, 28, -44, -71, 2, 3, -18]"
0,0,"[78, 38, -31, -61, 7, -1, -19]"
0,0,"[73, 36, -16, -61, 12, -4, -21]"
0,0,"[77, 32, -19, -67, 8, 0, -22]"
0,0,"[75, 49, 3, -57, 5, 2, -21]"
0,0,"[73, 57, 7, -45, 13, -3, -18]"
0,0,"[71, 52, 1, -48, 18, -9, -15]"
0,0,"[73, 51, -6, -52, 20, -12, -14]"
0,0,"[75, 51, -1, -55, 16, -14, -16]"
0,0,"[83, 51, 8, -65, 10, -14, -14]"
0,0,"[85, 50, 20, -66, 8, -14, -10]"
0,0,"[84, 49, 19, -66, 10, -14, -5]"
0,0,"[85, 49, 0, -70, 10, -15, -2]"
0,0,"[99, 39, -18, -89, 2, -16, 0]"
0,0,"[109, 39, -10, -101, -2, -16, 1]"
0,0,"[108, 29, -6, -104, 3, -13, 2]"
0,0,"[104, 33, -11, -98, 5, -9, 3]"
0,0,"[104, 36, -14, -97, 0, -7, 3]"
0,0,"[100, 34, -10, -94, -5, -7, 6]"
0,0,"[109, 29, -14, -104, -4, -9, 9]"
0,0,"[120, 17, -29, -115, 2, -9, 8]"
0,0,"[123, 10, -48, -113, 1, -3, 6]"
0,0,"[111, 15, -43, -101, -1, 1, 2]"
0,0,"[97, 23, -37, -87, -1, 1, 1]"
0,0,"[90, 24, -31, -81, 0, 0, 1]"
0,0,"[89, 21, -33, -80, 0, -2, 1]"
0,0,"[86, 19, -32, -78, -3, -1, 0]"
0,0,"[87, 22, -31, -78, -4, -2, 0]"
0,0,"[92, 23, -33, -83, -3, -4, 0]"
0,0,"[102, 20, -41, -91, -5, -5, 0]"
0,0,"[98, 17, -31, -91, -4, -3, -1]"
0,0,"[99, 13, -31, -93, 0, -1, -2]"
0,0,"[97, 12, -34, -90, 1, 0, -1]"
0,0,"[94, 9, -34, -87, 0, 1, -2]"
0,0,"[84, 11, -27, -79, 0, 1, -2]"
0,0,"[80, 10, -28, -74, 1, 0, -2]"
0,0,"[81, 7, -29, -75, 0, 0, -2]"
0,0,"[79, 6, -25, -75, 0, -1, -2]"
0,0,"[78, 6, -20, -75, 0, -2, -2]"
0,0,"[82, 9, -21, -79, 1, -3, -1]"
0,0,"[89, 9, -24, -85, 0, -4, 0]"
0,0,"[88, 5, -24, -85, -1, -3, 0]"
0,0,"[89, 6, -23, -86, 0, -3, 0]"
0,0,"[92, 6, -26, -88, 0, -3, 0]"
0,0,"[95, 3, -26, -91, 0, -3, 0]"
0,0,"[95, 3, -27, -91, 0, -1, 0]"
0,0,"[93, 7, -27, -89, 0, 0, -1]"
0,0,"[92, 8, -27, -88, 0, -1, -1]"
0,0,"[93, 11, -28, -88, -1, -2, -1]"
0,0,"[90, 8, -26, -86, -1, -1, -1]"
0,0,"[89, 5, -27, -85, 0, -2, -1]"
0,0,"[91, 4, -31, -85, -1, -1, -1]"
0,0,"[86, 6, -28, -81, -2, -1, -1]"
0,0,"[82, 8, -26, -77, -2, -2, -2]"
0,0,"[85, 7, -28, -80, -2, -3, -3]"
0,0,"[91, 2, -31, -86, -5, -4, -4]"
0,0,"[93, 0, -22, -90, -7, -4, -4]"
0,0,"[89, 0, -13, -88, -4, -6, -3]"
0,0,"[87, -2, -17, -85, -2, -6, -2]"
0,0,"[79, -5, -20, -76, -3, -4, -1]"
0,0,"[70, 0, -18, -68, -3, -2, -1]"
0,0,"[68, 0, -17, -66, -3, -4, -2]"
0,0,"[75, -3, -22, -72, -4, -5, -2]"
0,0,"[80, -5, -21, -77, -6, -7, -2]"
