label,thresh,coordinates
0,0,"[86, 19, -47, -70, 0, 0, -1]"
0,0,"[92, 18, -50, -75, 0, 0, 0]"
0,0,"[91, 18, -54, -71, 0, 0, 0]"
0,0,"[93, 19, -58, -70, 0, 0, 0]"
0,0,"[88, 20, -55, -66, 0, 1, 0]"
0,0,"[92, 20, -57, -69, 1, 0, 0]"
0,0,"[92, 19, -57, -70, 1, -1, 0]"
0,0,"[93, 19, -56, -72, 1, -1, -1]"
0,0,"[95, 15, -58, -74, 0, -1, 0]"
0,0,"[94, 19, -58, -71, -1, 0, 0]"
0,0,"[88, 18, -54, -67, -1, 0, 0]"
0,0,"[90, 18, -54, -70, 0, 0, 0]"
0,0,"[92, 18, -55, -71, 0, 0, 0]"
0,0,"[94, 19, -56, -73, 0, 0, 0]"
0,0,"[90, 19, -57, -67, 0, 0, 0]"
0,0,"[91, 18, -58, -68, -1, 0, 0]"
0,0,"[91, 19, -56, -69, -1, 0, 0]"
0,0,"[90, 18, -53, -71, 0, 0, 0]"
0,0,"[90, 18, -52, -71, 0, 0, 0]"
0,0,"[92, 17, -58, -70, 0, 0, 0]"
0,0,"[92, 17, -55, -72, 0, 0, 0]"
0,0,"[89, 19, -53, -69, 0, 0, 0]"
0,0,"[90, 19, -54, -70, 0, 0, 0]"
0,0,"[91, 15, -56, -70, 0, 0, 0]"
0,0,"[90, 17, -56, -69, 0, 0, 0]"
0,0,"[91, 16, -55, -71, 0, 1, 0]"
0,0,"[93, 19, -55, -72, 0, 0, 0]"
0,0,"[91, 17, -56, -70, 0, 0, 0]"
0,0,"[95, 17, -61, -71, 0, 0, 0]"
0,0,"[92, 19, -54, -72, 2, 0, -1]"
0,0,"[90, 17, -48, -74, 7, 1, -2]"
0,0,"[92, 17, -59, -69, 7, 1, -1]"
0,0,"[93, 20, -57, -71, 5, 1, -1]"
0,0,"[99, 16, -61, -76, 7, 1, 0]"
0,0,"[94, 21, -57, -72, 8, 1, 0]"
0,0,"[100, 18, -72, -67, 5, 2, 0]"
0,0,"[90, 24, -61, -62, 0, 3, 0]"
0,0,"[84, 25, -56, -58, 0, 3, 2]"
0,0,"[89, 24, -63, -58, 1, 2, 2]"
0,0,"[94, 21, -68, -61, 1, 1, 1]"
0,0,"[98, 18, -73, -63, 0, 2, 0]"
0,0,"[92, 21, -66, -61, 0, 3, 0]"
0,0,"[90, 22, -60, -63, 0, 4, 0]"
0,0,"[91, 24, -59, -65, 4, 3, 0]"
0,0,"[94, 24, -63, -65, 9, 2, 0]"
0,0,"[96, 22, -73, -59, 9, 2, -1]"
0,0,"[97, 25, -77, -53, 3, 2, -1]"
0,0,"[90, 28, -69, -50, 0, 3, 0]"
0,0,"[82, 29, -63, -43, -2, 0, 1]"
0,0,"[88, 27, -68, -49, -3, -2, 3]"
0,0,"[98, 21, -75, -60, -5, -2, 2]"
0,0,"[98, 23, -69, -66, -5, 0, 1]"
0,0,"[94, 22, -66, -63, -3, 0, 1]"
0,0,"[90, 24, -61, -61, -3, 0, 1]"
0,0,"[87, 23, -61, -57, -2, -1, 2]"
0,0,"[89, 22, -65, -57, -2, -2, 3]"
0,0,"[94, 20, -68, -62, -1, -2, 2]"
0,0,"[96, 29, -77, -49, -3, -3, 0]"
0,0,"[97, 17, -69, -66, -2, -1, 0]"
0,0,"[93, 19, -67, -61, -3, -1, 0]"
0,0,"[96, 19, -69, -64, -4, -1, -1]"
0,0,"[99, 19, -66, -71, -4, -1, -2]"
0,0,"[92, 19, -62, -65, -5, -1, -2]"
0,0,"[88, 19, -66, -55, -6, -1, -2]"
0,0,"[90, 17, -51, -72, -4, 0, -1]"
0,0,"[89, 21, -51, -70, -3, 0, 0]"
0,0,"[90, 18, -53, -70, -2, 0, 0]"
0,0,"[90, 18, -57, -67, 0, 0, 0]"
0,0,"[90, 18, -61, -64, 0, 0, 0]"
0,0,"[92, 18, -62, -65, 0, 0, 0]"
0,0,"[92, 20, -60, -67, 0, 0, 0]"
0,0,"[91, 20, -59, -67, 0, 0, 0]"
0,0,"[92, 18, -57, -70, 0, 0, 0]"
0,0,"[92, 20, -59, -68, 1, 0, 0]"
0,0,"[91, 21, -61, -64, 0, 0, 0]"
0,0,"[92, 20, -62, -65, 0, 0, -1]"
0,0,"[89, 18, -59, -64, 1, -1, -2]"
0,0,"[92, 18, -62, -65, 1, -2, -3]"
0,0,"[91, 18, -62, -64, 0, -2, -2]"
0,0,"[93, 19, -60, -68, 0, -1, -2]"
0,0,"[90, 22, -56, -67, -1, 0, -1]"
0,0,"[91, 19, -57, -68, 0, 0, -1]"
0,0,"[90, 20, -57, -67, 0, 0, -1]"
0,0,"[92, 18, -61, -67, 0, 0, 0]"
0,0,"[91, 19, -60, -66, 0, 0, 0]"
0,0,"[92, 18, -60, -68, 0, 0, 0]"
0,0,"[91, 20, -58, -67, 0, 0, 0]"
0,0,"[90, 19, -59, -65, 0, 0, 0]"
0,0,"[90, 18, -62, -63, 0, 0, 0]"
0,0,"[92, 18, -59, -68, 0, 0, 0]"
0,0,"[91, 19, -59, -67, 0, 0, 0]"
0,0,"[92, 18, -62, -65, 0, 0, 0]"
0,0,"[91, 19, -59, -67, 0, 0, 0]"
0,0,"[91, 17, -59, -67, 0, 0, 0]"
0,0,"[91, 19, -59, -67, 0, 0, 0]"
0,0,"[91, 18, -60, -66, 0, 0, 0]"
0,0,"[92, 18, -60, -67, 0, 0, 0]"
0,0,"[91, 17, -59, -67, 0, 0, 0]"
0,0,"[92, 19, -59, -68, 0, 0, 0]"
0,0,"[91, 20, -61, -64, 0, 0, 0]"
0,0,"[93, 18, -61, -68, 0, 0, 0]"
0,0,"[90, 19, -60, -65, 0, 0, 0]"
0,0,"[91, 19, -59, -67, 0, 0, 0]"
0,0,"[90, 17, -58, -67, 0, 0, 0]"
0,0,"[92, 18, -61, -66, 0, 0, 0]"
0,0,"[91, 19, -59, -66, 0, 0, 0]"
0,0,"[90, 18, -59, -66, 0, 0, 0]"
0,0,"[92, 18, -60, -67, 0, 0, 0]"
0,0,"[94, 18, -60, -70, 0, 0, 0]"
0,0,"[93, 19, -60, -69, 0, 0, 0]"
0,0,"[92, 18, -60, -68, 0, 0, 0]"
0,0,"[93, 16, -59, -70, 0, 0, 0]"
0,0,"[93, 19, -60, -68, 0, 0, 0]"
0,0,"[90, 17, -59, -66, 0, 0, 0]"
0,0,"[92, 17, -60, -68, 0, 0, 0]"
0,0,"[92, 18, -61, -66, 0, 0, 0]"
0,0,"[93, 16, -62, -67, 0, 0, 0]"
0,0,"[93, 18, -58, -70, 0, 0, 0]"
0,0,"[96, 14, -55, -78, 1, 1, 0]"
0,0,"[90, -3, -57, -70, -2, 7, 0]"
0,0,"[147, 17, -104, -102, 2, 8, -8]"
0,0,"[165, 2, -121, -112, -5, 12, -17]"
0,0,"[114, 0, -79, -82, -14, 17, -18]"
0,0,"[80, 16, -53, -58, -5, 15, -15]"
0,0,"[73, 9, -52, -50, 3, 10, -12]"
0,0,"[70, 6, -53, -46, 6, 7, -9]"
0,0,"[64, 12, -50, -38, 10, 2, -9]"
0,0,"[64, 14, -50, -37, 10, -1, -10]"
0,0,"[67, 12, -51, -41, 8, -2, -10]"
0,0,"[68, 21, -49, -42, 7, -2, -10]"
0,0,"[80, 27, -59, -46, 7, -6, -9]"
0,0,"[83, 28, -59, -52, 7, -8, -9]"
0,0,"[86, 30, -59, -55, 6, -8, -8]"
0,0,"[76, 42, -44, -46, 6, -6, -9]"
0,0,"[85, 57, -39, -50, 6, -10, -8]"
0,0,"[95, 55, -45, -63, 5, -15, -7]"
0,0,"[90, 42, -42, -68, 5, -13, -6]"
0,0,"[91, 52, -39, -64, 7, -7, -5]"
0,0,"[94, 59, -42, -60, 6, -10, -2]"
0,0,"[102, 57, -46, -71, 2, -13, -1]"
0,0,"[89, 46, -33, -69, 0, -11, 0]"
0,0,"[90, 45, -21, -75, 6, -9, 0]"
0,0,"[89, 34, -35, -75, 6, -8, 4]"
0,0,"[101, 22, -61, -77, 3, -5, 3]"
0,0,"[96, 18, -64, -69, 1, 0, 0]"
0,0,"[88, 24, -62, -57, 4, -2, -2]"
0,0,"[88, 27, -61, -57, 3, -4, -3]"
0,0,"[77, 16, -52, -55, -5, 0, -4]"
0,0,"[68, 32, -30, -52, -7, 0, 2]"
0,0,"[87, 42, -40, -65, 1, -7, 4]"
0,0,"[101, 27, -52, -82, 0, -4, 2]"
0,0,"[105, 42, -50, -82, 2, -2, 3]"
0,0,"[88, 37, -40, -69, 2, -2, 10]"
0,0,"[70, 51, -29, -39, 4, -3, 21]"
0,0,"[83, 50, -46, -48, 1, -10, 28]"
0,0,"[75, 33, -54, -40, -13, -14, 33]"
0,0,"[79, 24, -51, -55, -19, -15, 38]"
0,0,"[93, 13, -55, -74, -17, -21, 41]"
0,0,"[102, -12, -62, -80, 0, -24, 36]"
0,0,"[144, -26, -105, -95, 12, -19, 20]"
0,0,"[150, -35, -113, -92, 13, -10, 6]"
0,0,"[188, -40, -142, -116, 9, 1, -2]"
0,0,"[113, -21, -89, -67, -1, 4, -2]"
0,0,"[75, -8, -54, -51, 3, 1, 0]"
0,0,"[85, -13, -61, -58, 7, -3, 1]"
0,0,"[106, -28, -73, -72, 2, -4, 1]"
0,0,"[116, -35, -74, -82, 0, 1, -2]"
0,0,"[122, -40, -75, -88, 0, 7, -6]"
0,0,"[173, -58, -116, -115, 2, 16, -13]"
0,0,"[199, -55, -139, -132, 2, 32, -23]"
0,0,"[165, -13, -129, -102, 2, 38, -30]"
0,0,"[136, 18, -114, -71, 3, 31, -29]"
0,0,"[107, 36, -88, -48, 8, 22, -26]"
0,0,"[106, 29, -89, -50, 17, 15, -24]"
0,0,"[101, 29, -84, -48, 18, 12, -24]"
0,0,"[91, 27, -76, -43, 13, 12, -26]"
0,0,"[78, 29, -63, -35, 8, 12, -26]"
0,0,"[55, 32, -40, -19, 8, 11, -25]"
0,0,"[49, 36, -30, -15, 14, 9, -23]"
0,0,"[60, 38, -42, -19, 17, 7, -20]"
0,0,"[73, 45, -54, -20, 10, 6, -20]"
0,0,"[70, 53, -44, -11, 8, 4, -22]"
0,0,"[66, 54, -37, 11, 11, 0, -22]"
0,0,"[67, 52, -32, 28, 12, -3, -19]"
0,0,"[73, 50, -41, 33, 8, -9, -14]"
0,0,"[70, 44, -43, 34, 4, -12, -8]"
0,0,"[69, 39, -44, 37, 9, -17, -3]"
0,0,"[71, 33, -52, 35, 13, -20, -2]"
0,0,"[62, 26, -45, 33, 12, -21, -4]"
0,0,"[64, 28, -25, 52, 9, -25, -6]"
0,0,"[77, 17, 8, 75, 5, -32, -2]"
0,0,"[80, 0, 27, 75, 0, -43, 5]"
0,0,"[116, -35, 46, 100, -8, -43, 13]"
0,0,"[207, -46, 83, 184, -23, -43, 24]"
0,0,"[301, -119, 141, 238, -43, -43, 43]"
2,1,"[1352, -784, -784, -774, -43, 43, 43]"
0,0,"[144, -1, -60, -131, 7, 17, -2]"
0,0,"[90, -14, -52, -72, 8, 0, 0]"
0,0,"[59, -10, -32, -48, 1, 3, 3]"
0,0,"[91, -2, -24, -88, 0, 3, 2]"
0,0,"[93, -1, -26, -89, 3, 1, 0]"
0,0,"[101, 3, -49, -88, 5, 2, 0]"
0,0,"[89, 6, -51, -73, 2, 2, 0]"
0,0,"[85, 3, -50, -69, 0, 0, 0]"
0,0,"[90, 0, -41, -80, 0, -1, -1]"
0,0,"[94, -3, -43, -83, 1, -1, -1]"
0,0,"[87, -6, -40, -77, 1, 0, 0]"
0,0,"[89, -9, -41, -79, 1, -1, 0]"
0,0,"[89, -11, -41, -78, 0, 0, 0]"
0,0,"[90, -10, -39, -80, 0, 0, 0]"
0,0,"[91, -8, -39, -82, 0, 0, 0]"
0,0,"[86, -10, -37, -77, 0, 0, 0]"
0,0,"[88, -12, -38, -79, 1, 0, 0]"
0,0,"[91, -10, -42, -80, 0, 0, 0]"
0,0,"[89, -9, -38, -80, 0, 1, 0]"
0,0,"[90, -5, -39, -81, 2, 1, 0]"
0,0,"[90, -7, -43, -79, 3, 0, 0]"
0,0,"[90, -10, -44, -78, 1, 0, 0]"
0,0,"[90, -5, -46, -77, 0, 0, 0]"
0,0,"[88, -8, -41, -78, 0, 0, 0]"
0,0,"[90, -4, -47, -77, 0, 0, 0]"
0,0,"[88, -4, -45, -75, 0, 0, 0]"
0,0,"[89, -3, -49, -74, 0, 0, 0]"
0,0,"[89, -3, -44, -77, 0, 0, 0]"
0,0,"[90, -5, -44, -78, 0, 0, 0]"
0,0,"[90, -6, -44, -78, 0, 0, 0]"
0,0,"[90, -5, -45, -78, 0, 0, 0]"
0,0,"[90, -7, -44, -78, 0, 0, 0]"
0,0,"[89, -7, -43, -78, 0, 0, 0]"
0,0,"[90, -6, -44, -78, 0, 0, 0]"
0,0,"[89, -6, -43, -78, 0, 0, 0]"
0,0,"[91, -5, -44, -79, 0, 0, 0]"
0,0,"[88, -6, -43, -77, 0, 0, 0]"
0,0,"[88, -6, -42, -77, 0, 0, 0]"
0,0,"[88, -6, -43, -76, 0, 0, 0]"
0,0,"[90, -7, -47, -77, 0, 0, 0]"
0,0,"[90, -6, -46, -77, 0, 0, 0]"
0,0,"[91, -5, -45, -79, 0, 0, 0]"
