label,thresh,coordinates
0,0,"[115, 2, -52, -103, 2, -12, 0]"
0,0,"[128, -12, -56, -114, 2, -7, 0]"
0,0,"[116, -5, -61, -98, -1, 1, 0]"
0,0,"[99, -1, -62, -77, -2, 1, -1]"
0,0,"[91, -3, -64, -65, -3, 1, -1]"
0,0,"[86, -2, -63, -58, -3, 0, -1]"
0,0,"[83, -5, -62, -55, -2, 0, 0]"
0,0,"[89, -6, -67, -59, -1, -1, 0]"
0,0,"[93, -11, -68, -63, -1, 0, 0]"
0,0,"[92, -7, -68, -61, 0, 0, 0]"
0,0,"[92, -7, -68, -62, 0, 0, 0]"
0,0,"[93, -6, -69, -62, 1, 0, 0]"
0,0,"[91, -3, -69, -59, 2, 0, 0]"
0,0,"[94, -7, -70, -62, 1, 0, 0]"
0,0,"[87, -4, -65, -57, 2, 0, 0]"
0,0,"[85, -7, -64, -56, 4, 0, 0]"
0,0,"[92, -6, -69, -60, 4, 0, 0]"
0,0,"[91, -5, -67, -62, 2, 0, 0]"
0,0,"[94, -7, -65, -68, 0, 0, 0]"
0,0,"[90, -6, -58, -68, 0, 0, 0]"
0,0,"[89, -7, -58, -67, 1, 0, 0]"
0,0,"[87, -5, -57, -65, 1, 0, 0]"
0,0,"[93, -5, -65, -66, 0, 0, 0]"
0,0,"[86, -2, -61, -60, -1, 0, 0]"
0,0,"[86, 0, -64, -58, 0, 0, 1]"
0,0,"[94, 0, -73, -60, 0, 0, 1]"
0,0,"[97, -3, -75, -62, 0, -1, 1]"
0,0,"[102, -9, -78, -65, 1, 0, 0]"
0,0,"[103, -10, -80, -64, 1, 1, 0]"
0,0,"[99, -9, -78, -61, 0, 2, -1]"
0,0,"[90, -7, -69, -57, 0, 3, -1]"
0,0,"[80, -4, -62, -51, 0, 1, -1]"
0,0,"[82, -7, -62, -53, 1, 0, -1]"
0,0,"[84, -7, -63, -55, 0, 0, -1]"
0,0,"[90, -8, -67, -59, 0, 0, 0]"
0,0,"[87, -7, -64, -58, -1, 0, 0]"
0,0,"[89, -7, -64, -61, 0, -1, 0]"
0,0,"[90, -5, -66, -61, 0, -1, 0]"
0,0,"[94, -7, -69, -63, 0, -1, 0]"
0,0,"[93, -5, -68, -63, -1, 0, 0]"
0,0,"[87, -4, -64, -59, 0, 0, 0]"
0,0,"[97, -7, -72, -65, 0, 0, 1]"
0,0,"[92, -5, -69, -60, 0, 0, 0]"
0,0,"[89, -5, -67, -58, 1, 0, 0]"
0,0,"[93, -6, -71, -60, 0, 0, 0]"
0,0,"[92, -7, -71, -58, 0, 0, 0]"
0,0,"[96, -8, -75, -60, 0, 0, 0]"
0,0,"[90, -6, -70, -56, 0, 0, 0]"
0,0,"[90, -6, -69, -57, 0, 0, 0]"
0,0,"[89, -4, -69, -56, 1, 0, 0]"
0,0,"[89, -6, -69, -56, 0, -1, 0]"
0,0,"[91, -8, -70, -58, 0, -1, 0]"
0,0,"[98, -11, -73, -64, 0, 0, 0]"
0,0,"[95, -8, -71, -62, 0, 0, 0]"
