label,thresh,coordinates
0,0,"[91, 31, -44, -73, 0, 0, 0]"
0,0,"[82, 30, -40, -65, -2, 0, -2]"
0,0,"[87, 32, -35, -73, 1, -1, -3]"
0,0,"[91, 31, -37, -77, 5, -3, -6]"
0,0,"[99, 23, -46, -85, 4, -1, -6]"
0,0,"[88, 32, -40, -71, -1, 0, -3]"
0,0,"[90, 33, -38, -75, -1, -1, -2]"
0,0,"[89, 24, -35, -78, -2, 0, -1]"
0,0,"[93, 30, -39, -79, -3, 0, -1]"
0,0,"[92, 28, -41, -78, -5, 1, 0]"
0,0,"[91, 32, -33, -78, -6, 1, 0]"
0,0,"[89, 32, -29, -78, -2, 1, 0]"
0,0,"[89, 32, -31, -77, 0, 0, 0]"
0,0,"[91, 30, -35, -78, 0, 0, 0]"
0,0,"[92, 31, -28, -82, 0, 0, 0]"
0,0,"[94, 34, -31, -82, 2, 0, -2]"
0,0,"[88, 31, -35, -75, 4, 0, -3]"
0,0,"[92, 32, -42, -75, 2, 0, -3]"
0,0,"[94, 36, -42, -76, 0, 0, -3]"
0,0,"[92, 36, -34, -77, 0, 0, -2]"
0,0,"[90, 35, -32, -77, 0, 0, -1]"
0,0,"[92, 34, -38, -77, 0, 0, 0]"
0,0,"[92, 37, -37, -76, 0, 0, 0]"
0,0,"[93, 36, -39, -76, 0, 0, 0]"
0,0,"[91, 33, -36, -77, -1, 0, 0]"
0,0,"[91, 33, -36, -77, -1, 0, 0]"
0,0,"[90, 34, -35, -76, -1, 0, 0]"
0,0,"[91, 34, -35, -77, 0, 0, 0]"
0,0,"[91, 34, -35, -77, 0, 0, 0]"
0,0,"[90, 33, -35, -76, 0, 0, 0]"
0,0,"[92, 33, -36, -78, 0, 0, 0]"
0,0,"[90, 33, -34, -77, 0, 0, 0]"
0,0,"[90, 35, -34, -76, 0, 0, 0]"
0,0,"[92, 34, -36, -77, 0, 0, 0]"
0,0,"[95, 37, -39, -78, 0, 0, 0]"
0,0,"[89, 34, -34, -75, 0, 0, 0]"
0,0,"[91, 33, -36, -77, 0, 0, 0]"
0,0,"[90, 35, -30, -77, 0, 0, 0]"
0,0,"[90, 32, -37, -75, 0, 0, 0]"
0,0,"[89, 33, -35, -75, 0, 0, 0]"
0,0,"[92, 34, -36, -78, 0, 0, 0]"
0,0,"[90, 34, -35, -76, 0, 0, 0]"
0,0,"[92, 34, -36, -77, 0, 0, 0]"
0,0,"[92, 34, -36, -78, 0, 0, 0]"
0,0,"[91, 35, -37, -76, 0, 0, 0]"
0,0,"[93, 35, -35, -79, 0, 0, 0]"
0,0,"[93, 37, -36, -77, 0, 0, 0]"
0,0,"[91, 34, -35, -77, 0, 0, 0]"
0,0,"[91, 34, -36, -76, 0, 0, 0]"
0,0,"[91, 33, -35, -77, 0, 0, 0]"
0,0,"[91, 34, -35, -77, 0, 0, 0]"
0,0,"[90, 33, -35, -76, 0, 0, 0]"
0,0,"[92, 33, -36, -78, 0, 0, 0]"
0,0,"[90, 33, -35, -76, 0, 0, 0]"
0,0,"[91, 34, -35, -77, 0, 0, 0]"
0,0,"[92, 34, -36, -78, 0, 0, 0]"
0,0,"[92, 34, -36, -77, 0, 0, 0]"
0,0,"[90, 33, -36, -76, 0, 0, 0]"
0,0,"[90, 33, -36, -76, 0, 0, 0]"
0,0,"[90, 33, -35, -76, 0, 0, 0]"
0,0,"[92, 34, -36, -78, 0, 0, 0]"
0,0,"[89, 34, -34, -75, 0, 0, 0]"
0,0,"[91, 33, -36, -77, 0, 0, 0]"
0,0,"[91, 33, -35, -77, 0, 0, 0]"
0,0,"[90, 28, -33, -79, 0, 0, 0]"
0,0,"[92, 35, -36, -77, 0, 0, 0]"
0,0,"[90, 33, -35, -76, 0, 0, 0]"
