label,thresh,coordinates
0,0,"[90, 24, -61, -62, -1, 0, -1]"
0,0,"[93, 26, -61, -65, -1, 0, 0]"
0,0,"[94, 24, -61, -67, 0, 0, 0]"
0,0,"[91, 23, -60, -65, 0, 0, 0]"
0,0,"[93, 23, -62, -66, 0, 0, 0]"
0,0,"[90, 22, -57, -66, 0, 0, 0]"
0,0,"[93, 24, -62, -65, 0, 0, 0]"
0,0,"[91, 29, -61, -61, 1, 0, -2]"
0,0,"[89, 24, -61, -60, 0, 0, -1]"
0,0,"[90, 24, -59, -63, 0, 0, -1]"
0,0,"[91, 23, -59, -65, 0, 0, 0]"
0,0,"[92, 24, -60, -65, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[93, 24, -63, -64, 0, 0, 0]"
0,0,"[92, 23, -62, -64, 0, 0, 0]"
0,0,"[86, 16, -57, -63, 0, 1, 0]"
0,0,"[90, 24, -63, -60, 0, 0, 0]"
0,0,"[93, 25, -62, -65, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[91, 23, -59, -65, 0, 0, 0]"
0,0,"[93, 23, -62, -65, 0, 0, 0]"
0,0,"[93, 24, -63, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[90, 24, -59, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -65, 0, 0, 0]"
0,0,"[89, 25, -59, -62, 0, 0, 0]"
0,0,"[93, 23, -63, -64, 0, 0, 0]"
0,0,"[91, 24, -60, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[92, 23, -63, -63, 0, 0, 0]"
0,0,"[93, 24, -62, -65, 0, 0, 0]"
0,0,"[91, 23, -61, -64, 0, 0, 0]"
0,0,"[91, 24, -60, -64, 0, 0, 0]"
0,0,"[92, 23, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[91, 25, -61, -63, 0, 0, 0]"
0,0,"[92, 24, -60, -65, 0, 0, 0]"
0,0,"[92, 23, -61, -65, 0, 0, 0]"
0,0,"[93, 24, -63, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -65, 0, 0, 0]"
0,0,"[91, 23, -61, -63, 0, 0, 0]"
0,0,"[91, 24, -61, -63, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[93, 24, -62, -65, 0, 0, 0]"
0,0,"[92, 24, -61, -65, 0, 0, 0]"
0,0,"[93, 22, -62, -66, 0, 0, 0]"
0,0,"[91, 23, -60, -64, 0, 0, 0]"
0,0,"[92, 22, -62, -64, 0, 0, 0]"
0,0,"[94, 26, -61, -67, 0, 0, 0]"
0,0,"[92, 25, -62, -63, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -63, 0, 0, 0]"
0,0,"[92, 24, -62, -63, 0, 0, 0]"
0,0,"[92, 24, -61, -65, 0, 0, 0]"
0,0,"[92, 23, -62, -64, 0, 0, 0]"
0,0,"[92, 23, -61, -65, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[93, 24, -62, -65, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[91, 25, -60, -64, 0, 0, 0]"
0,0,"[93, 23, -64, -63, 0, 0, 0]"
0,0,"[93, 23, -62, -65, 0, 0, 0]"
0,0,"[91, 24, -59, -65, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[90, 22, -61, -63, 0, 0, 0]"
0,0,"[91, 24, -61, -63, 0, 0, 0]"
0,0,"[92, 24, -61, -65, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[91, 23, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[91, 26, -59, -64, 0, 0, 0]"
0,0,"[92, 21, -63, -63, 0, 0, 0]"
0,0,"[93, 25, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -60, -65, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[91, 23, -61, -63, 0, 0, 0]"
0,0,"[92, 24, -62, -63, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[92, 23, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[91, 25, -59, -65, 0, 0, 0]"
0,0,"[92, 23, -62, -64, 0, 0, 0]"
0,0,"[92, 23, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[93, 25, -62, -64, 0, 0, 0]"
0,0,"[91, 23, -62, -63, 0, 0, 0]"
0,0,"[92, 23, -62, -64, 0, 0, 0]"
0,0,"[91, 23, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[91, 24, -61, -63, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -63, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[92, 23, -61, -65, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -63, 0, 0, 0]"
0,0,"[92, 24, -61, -65, 0, 0, 0]"
0,0,"[91, 24, -61, -63, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[92, 23, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -65, 0, 0, 0]"
0,0,"[92, 23, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[91, 25, -60, -64, 0, 0, 0]"
0,0,"[91, 24, -60, -64, 0, 0, 0]"
0,0,"[92, 23, -62, -64, 0, 0, 0]"
0,0,"[94, 24, -64, -64, 0, 0, 0]"
0,0,"[92, 25, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[91, 23, -61, -63, 0, 0, 0]"
0,0,"[92, 24, -61, -65, 0, 0, 0]"
0,0,"[93, 25, -61, -65, 0, 0, 0]"
0,0,"[93, 24, -63, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[90, 24, -59, -63, 0, 0, 0]"
0,0,"[92, 23, -62, -64, 0, 0, 0]"
0,0,"[92, 23, -62, -64, 0, 0, 0]"
0,0,"[91, 23, -62, -63, 0, 0, 0]"
0,0,"[92, 24, -61, -65, 0, 0, 0]"
0,0,"[91, 24, -60, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -63, 0, 0, 0]"
0,0,"[92, 24, -60, -65, 0, 0, 0]"
0,0,"[92, 24, -62, -63, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[94, 24, -63, -65, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[91, 24, -61, -63, 0, 0, 0]"
0,0,"[91, 23, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -63, -63, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[92, 24, -62, -64, 0, 0, 0]"
0,0,"[91, 24, -61, -63, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[93, 24, -62, -65, 0, 0, 0]"
0,0,"[92, 24, -61, -64, 0, 0, 0]"
0,0,"[91, 23, -60, -65, 0, 0, 0]"
0,0,"[91, 24, -61, -63, 0, 0, 0]"
