,label,thresh,coordinates
98,0,0,"['91', '31', '-45', '-73', '0', '0', '0']"
99,0,0,"['91', '28', '-44', '-74', '1', '0', '0']"
100,0,0,"['91', '30', '-46', '-73', '0', '0', '0']"
101,0,0,"['91', '34', '-46', '-71', '0', '0', '0']"
102,0,0,"['91', '31', '-46', '-72', '0', '0', '0']"
103,0,0,"['91', '32', '-44', '-73', '0', '0', '0']"
104,0,0,"['91', '31', '-45', '-73', '0', '0', '0']"
105,0,0,"['91', '31', '-46', '-72', '0', '0', '0']"
106,0,0,"['91', '30', '-46', '-73', '0', '0', '0']"
107,0,0,"['91', '31', '-45', '-73', '0', '0', '0']"
108,0,0,"['91', '31', '-46', '-72', '0', '0', '-1']"
109,0,0,"['92', '30', '-47', '-73', '0', '0', '-1']"
110,0,0,"['89', '30', '-44', '-71', '0', '-1', '0']"
111,0,0,"['93', '34', '-50', '-71', '0', '0', '0']"
112,0,0,"['90', '31', '-45', '-72', '0', '0', '0']"
113,0,0,"['93', '32', '-48', '-73', '0', '0', '0']"
114,0,0,"['93', '33', '-47', '-73', '0', '0', '-1']"
115,0,0,"['91', '34', '-45', '-72', '0', '0', '-1']"
116,0,0,"['92', '31', '-46', '-73', '0', '0', '0']"
117,0,0,"['94', '35', '-40', '-77', '0', '-1', '0']"
118,0,0,"['90', '31', '-44', '-72', '0', '0', '0']"
119,0,0,"['90', '28', '-45', '-73', '0', '0', '0']"
120,0,0,"['90', '28', '-44', '-73', '0', '0', '0']"
121,0,0,"['96', '32', '-49', '-76', '0', '0', '0']"
122,0,0,"['93', '35', '-50', '-70', '0', '0', '0']"
123,0,0,"['94', '31', '-51', '-72', '-1', '0', '0']"
124,0,0,"['91', '33', '-46', '-71', '-1', '0', '0']"
125,0,0,"['90', '32', '-46', '-71', '-1', '0', '0']"
126,0,0,"['92', '29', '-47', '-73', '-1', '0', '0']"
127,0,0,"['92', '29', '-46', '-74', '-1', '0', '0']"
128,0,0,"['90', '32', '-43', '-72', '0', '0', '0']"
129,0,0,"['92', '31', '-46', '-74', '0', '0', '0']"
130,0,0,"['90', '31', '-45', '-72', '0', '0', '0']"
131,0,0,"['92', '32', '-45', '-74', '0', '0', '0']"
132,0,0,"['90', '32', '-43', '-72', '0', '0', '0']"
133,0,0,"['90', '30', '-44', '-73', '0', '0', '0']"
134,0,0,"['91', '31', '-44', '-73', '0', '0', '0']"
135,0,0,"['92', '31', '-44', '-74', '0', '0', '0']"
136,0,0,"['93', '32', '-46', '-74', '0', '0', '0']"
137,0,0,"['90', '30', '-44', '-73', '0', '0', '0']"
138,0,0,"['90', '28', '-46', '-72', '0', '0', '0']"
139,0,0,"['88', '29', '-43', '-71', '-1', '0', '0']"
140,0,0,"['92', '31', '-47', '-73', '-1', '0', '0']"
141,0,0,"['90', '33', '-43', '-72', '0', '0', '0']"
142,0,0,"['93', '33', '-47', '-73', '0', '0', '0']"
143,0,0,"['93', '33', '-46', '-74', '0', '0', '0']"
144,0,0,"['87', '32', '-42', '-69', '0', '0', '0']"
145,0,0,"['92', '29', '-47', '-74', '0', '0', '0']"
146,0,0,"['87', '24', '-44', '-71', '0', '2', '0']"
147,0,0,"['89', '30', '-47', '-70', '0', '0', '0']"
148,0,0,"['91', '31', '-43', '-74', '0', '0', '0']"
149,0,0,"['94', '31', '-47', '-75', '0', '0', '-1']"
150,0,0,"['93', '24', '-51', '-74', '0', '1', '-2']"
151,0,0,"['91', '19', '-63', '-63', '-2', '4', '-5']"
152,0,0,"['115', '27', '-64', '-92', '-9', '8', '-7']"
153,0,0,"['96', '28', '-34', '-85', '-2', '10', '-12']"
154,0,0,"['91', '31', '-38', '-77', '7', '9', '-18']"
155,0,0,"['100', '23', '-57', '-79', '8', '11', '-23']"
156,0,0,"['71', '-27', '-38', '-54', '6', '9', '-18']"
157,0,0,"['85', '26', '-64', '-50', '9', '0', '-13']"
158,0,0,"['87', '33', '-62', '-51', '7', '-6', '-13']"
159,0,0,"['74', '40', '-39', '-49', '5', '-9', '-14']"
160,0,0,"['83', '53', '-20', '-60', '4', '-7', '-13']"
161,0,0,"['108', '79', '-5', '-73', '4', '-1', '-8']"
162,0,0,"['117', '91', '-4', '-74', '3', '-3', '-2']"
163,0,0,"['121', '94', '-1', '-76', '0', '-3', '2']"
164,0,0,"['116', '87', '1', '-77', '0', '-3', '9']"
165,0,0,"['107', '80', '-10', '-71', '0', '-2', '12']"
166,0,0,"['107', '68', '-24', '-79', '2', '0', '11']"
167,0,0,"['102', '62', '-35', '-73', '0', '2', '8']"
168,0,0,"['96', '52', '-39', '-71', '-1', '2', '8']"
169,0,0,"['92', '42', '-45', '-68', '-2', '3', '9']"
